spanish_tweet,generated_english,corrected_english,is_correct,spanish_translation
"Me vale madres endeudarme bien cabron, el fin de semana voy a ver la final de vuelta sea en Leon o en Guadalajara","It's good for me moms to owe me well asshole, the weekend I'm going to see the finals back either in Leon or Guadalajara","I don't give a crap if a go into debt asshole , this weekend I'm going to see the finals either in Leon or Guadalajara",False,
_USR Sí! Tentando a los pastores! 😂😂😂,USR Yes! Tempting the shepherds!,USR Yes! Tempting the shepherds!,True,
#DomingoDeGanarSeguidores 😱 Prepárense porque ya se viene la #colaboracion con este rico chocolatito _USR un chico delicioso y #arrecho 🥵.. #SUSCRIBETE a #onlyfans porque ya viene!! 👏🎉 Dale #RETWEEET si quieres ver #promos 😈🔥 _USR 🙏💞 #androshokool _URL,#SundayDeGanarFollowers  Get ready because you already come the #collaboration with this rich chocolate _USR a delicious guy and #right .. #SUSCRIBE to #onlyfans because it is coming!!  Dale #RETWEEET if you want to see #promos  _USR  #androshokool _URL,#DomingoDeGanarSeguidores Get ready because the #collaboration with this delicious little chocolate is coming soon _USR a delicious and #arrecho guy .. #SUSCRIBETE to #onlyfans because it is coming!! #RETWEEET if you want to see #promos _USR #androshokool _URL,False,
"Hey CDMX el show de Chimalhuacán lo RE-UBICAMOS a una zona más céntrica y con espacio para estacionarse, ahora el show será en una terraza sobre AV. REVOLUCIÓN, está entre el metro Mixcoac y metro Barranca del Muerto, que dan 22 lugares _URL _URL","Hey CDMX the show of Chimalhuacán RE-UBICAMOS to a more central area and with space to park, now the show will be on a terrace on AV. REVOLUTION, is between the metro Mixcoac and metro Barranca del Muerto, which give 22 places _URL _URL","Hey CDMX we RELOCATED the show of Chimalhuacán to a more central area and with space to park, now the show will be on a terrace on AV. REVOLUCION, between the Mixcoac Metro Station and Barranca del Muerto Metro Statio, 22 spots are left _URL _URL",False,"Hey CDMX, hemos RELOCADO la presentación del show de Chimalhuacán a un área más central y con espacio para estacionar, ahora la presentación estará en una terraza en AV. REVOLUCION, entre el Mixcoac Metro Estación y el Barranca del Muerto Metro Estación, 22 plazas están reservadas."
Acaba de publicar una foto en Zacatecas City _URL,Just posted a photo in Zacatecas City _URL,Just posted a photo in Zacatecas City _URL,True,
@AlvarezMaynez @GmoSheridan Gracias,@AlvarezMaynez @GmoSheridan Thank you,@AlvarezMaynez @GmoSheridan Thank you,True,
"_USR Todo el novenario, hincado sobre fichas, o corcholatas como les dicen Uds, jaja!!!","_USR All the novenarius, piled up on chips, or corklatas as you say, ha ha!!!!","_USR All the people in the novenaries, kneeling up on metal bottlecaps, or corcholatas as they are called, ha ha!!!!",False,"Todos los ciudadanos en las novenas, sentados en botellas de cobre, o corcholatas como se les llama, ¡haha!!!!"
"_USR Mis estimados asalariados del metro 🤣😁 vagon FN1096, exactamente a la altura de la ultima puerta (división con las damas) lado izquierdo dirección Pantitlan va haciendo corto circuito por debajo de la puerta... No mamen!!! Chequenlo porque se escucha bien culero.","_USR My estimated employees of the metro  camper FN1096, exactly at the height of the last door (division with the ladies) left side direction Pantitlan is making short circuit under the door... No mamen!!! Check it because you listen well cuero.","_USR My estimated employees of the metro train FN1096, exactly near the last door (the ladies section) left side in the direction of  Pantitlan is making short circuit under the door... No fucking way!!! Check it because you can hear it, it is very sacry .",False,"_Estoy mi estimado empleados de los ferrocarriles metro FN1096, exactamente en la puerta del lado derecho (la sección de las damas) se levantan la puerta en el sentido de Pantitlan"
Con el amor de mi vida 😍 en Pitahaya Redonda _URL,With the love of my life  in Pitahaya Redonda _URL,With the love of my life  in Pitahaya Redonda _URL,True,
"#Sonora| El mandatario estatal _USR llamó a las y los estudiantes sonorenses a llevar a cabo su registro, ya que tienen hasta el 21 de abril del presente año para hacerlo. _URL","#Sonora The state president _USR called the Sonorian students to carry out their registration, as they have until April 21st of this year to do so. _URL","#Sonora The govenor  _USR called the Sonorian students to carry out their registration, as they have until April 21st of this year to do so. _URL",False,
_USR Hola guapa y sexy🥵🔥 mamasita y mi amor ❤❤❤😍😍,_USR Hello beautiful and sexy mamasita and my love,_USR Hello beautiful and sexy mamasita and my love,False,
Y el día terminó... (@ Gasolineria) _URL,And the day ended... (@ Gasolineria) _URL,And the day ended... (@ Gasolineria) _URL,True,
_USR Mty NL viernes 11 de marzo 2022 _URL,_USR Mty NL Friday 11 March 2022 _URL,_USR Mty NL Friday 11 March 2022 _URL,True,
#Policiaca 🚔Una pareja fue baleada mientras viajaba a bordo de un vehículo.https://t.co/WBSPa0WGAh,#Poliiciaca A couple was shot while travelling on board a vehicle.https://t.co/WBSPa0WGAh,#Poliiciaca A couple was shot while travelling on board a vehicle.https://t.co/WBSPa0WGAh,True,"#Policía Un par de personas fue herido mientras viajaban en un vehículo.https://t.co/WBSPa0WGAh"
"El Trabajo los Hará Libres! Tanto que ese wey del fondo esta de rodillas, pfffff ya había olvidado lo que era trabajar así... en Centro Internacional de Exposiciones y Convenciones WTC _URL","The Work Will Make You Free! So much so that that wey from the bottom is on his knees, pfffff had already forgotten what it was like to work like this... at WTC International Exhibition and Convention Center _URL","The Work Will Make You Free! So much so that that jerk at the end is on his knees, pfffff had already forgotten what it was like to work like this... at WTC the International Exhibition and Convention Center _URL",False,
"💎👑🤤🇲🇽❣️✨ Adrian Pacheco en Mexico City, Mexico _URL","Adrian Pacheco in Mexico City, Mexico _URL","Adrian Pacheco in Mexico City, Mexico _URL",True,
"@antonioaranda_: El país se pudre y Tartufo @lopezobrador_  solo lloriquea, necesitamos un verdadero líder.","@antonioaranda_: The country rots and Tartufo @lopezobrador_ just whine, we need a real leader.","@antonioaranda_: The country rots and Tartufo @lopezobrador_ just whines, we need a real leader.",False,
"Nuestro compromiso se ve reafirmado en las áreas verdes, parques y escuelas, este es un primer paso, nuestro presidente _USR tiene claro su objetivo y en equipo con los ciudadanos sé que lo lograremos mucho antes. ¡Vamos corredor Chapala! #TlajomulcoEsTuyo. _URL","Our commitment is reaffirmed in the green areas, parks and schools, this is a first step, our president _USR is clear his goal and team with citizens I know that we will achieve it much sooner. Go corridor Chapala! #TlajomulcoEsTuyo. _URL","Our commitment is reaffirmed in the green areas, parks and schools, this is a first step, our president _USR has a clear goal and together in a team with citizens I know that we will achieve it much sooner. Let's go, Corredor Chapala! #TlajomulcoEsTuyo. _URL",False,"The new government has announced a new policy to reduce carbon emissions, this is a step in the right direction, but it is not enough, we need to take action"
"_USR ¿Qué no andamos en veda electoral? En la calle Nogal de la India, Pueblo Nuevo Alto en La Magdalena Contreras _URL","_USR What don't we walk in electoral ban? In Nogal Street of India, Pueblo Nuevo Alto in La Magdalena Contreras _URL","_USR Aren't we in an electoral ban? In Nogal Street of India, Pueblo Nuevo Alto in La Magdalena Contreras _URL",False,"No, no estamos en una prohibición electoral. En la calle Nogal de India, en Pueblo Nuevo Alto en La Magdalena Contreras."
La diosa Ixchel y las playas de #IslaMujeres bendicen tu matrimonio por toda la eternidad.𝗜𝘀𝗹𝗮 𝗠𝘂𝗷𝗲𝗿𝗲𝘀 será la manera perfecta de comenzar su vida juntos. 💕💍 #turismoQroo,The goddess Ixchel and the beaches of #IslandWomen bless your marriage for all eternity.Island Women will be the perfect way to start your life together.,The goddess Ixchel and the beaches of #Isla Mujeres bless your marriage for all eternity.Isla Mujeres  will be the perfect way to start your life together.,False,"La diosa Ixchel y las playas de #IslaMujeres bendecen tu matrimonio por toda eternidad. Isla Mujeres será el lugar perfecto para comenzar tu vida juntos."
"Texto e imágen tomada de la página de Instagram de Volcanes de México y de otros lados El Monte Fuji🌋🇯🇵 en Cabecera Municipal, Chimalhuacán _URL","Text and image taken from the Instagram page of Volcanes de México and from other sides El Monte Fuji in Cabecera Municipal, Chimalhuacán _URL","Text and image taken from the Instagram page of Volcanes de México and from other places El Monte Fuji in Japan, Municipal Government Seat, Chimalhuacán _URL",False,
"El viernes 10 de junio del 2022, el gobierno federal realizó el registro del programa federal de las Tandas del Bienestar. Donde vi a muchas y muchos guerrerenses anotarse para obtener un apoyo para su negocio. 💘 _USR _URL","On Friday, June 10, 2022, the federal government registered the federal program of the Welfare Tandas. Where I saw many and many warriors sign up for support for their business.  _USR _URL","On Friday, June 10, 2022, the federal government registered the federal program Tandas del Bienestar. There I saw many and natives of Guerrero, men and women, sign up for support for their businesses. _USR _URL",False,"El lunes 10 de junio de 2022, el gobierno federal registró el programa federal Tandas del Bienestar. Allí vi a muchos y a los indígenas de Guerrero, hombres y mujeres, que se inscribieron para apoyar sus negocios."
"¿Y qué onda con _USR Monclova? La misma encargada para ambas sucursales (VIP y tradicional). Me comentan “es recomendable indicarle al personal para hacer el llamado”… pues no tienen ni personal, una sola chica atendiendo cajas (obvio no es culpa de ellas). Pésimo.","And what about _USR Monclova? The same manager for both branches (VIP and traditional). They tell me “it is advisable to tell the staff to make the call”... because they have no staff, only one girl serving boxes (obvious is not their fault).","And what about _USR Monclova? The same manager for both branches (VIP and traditional). They tell me “it is advisable to tell the staff to make the call”... because they have no staff, only one girl serving at the cash register (obviously is not their fault).",False,"Y qué sobre _USR Monclova? El mismo gerente para ambas ramas (VIP y tradicional). Les dice “es recomendable que les diga a los empleados hacer el llamado”… porque no tienen personal, solo una chica sirviendo en la cajera (obviamente no es su culpa)."
@TINY_TARO yo me estoy cagando de frío,@TINY_TARO I'm shitting myself cold,I'm freezing my ass off,False,
"_USR Y sigue igual, lleno de baches y socavones!","And still the same, full of potholes and socavones!","And it's still the same, full of potholes and sinkholes!",False,
_USR Buen camino 🚴🏻‍♂️ comparte las fotos y tus experiencias 👍🏻 #MejorEnBici,_USR Good way  shares photos and your experiences  #BestEnBici,_USR Safe travels share your pics and experiences #MejorEnBici,False,"Here's a breakdown of the translation:tr* _USR_ is a shortened form of ""United States of America"".* _Safe travels_ is a common English phrase used to wish someone a safe journey.* _Share your pics and experiences_ is a polite way to ask someone to share their photos and stories about their trip.* _#MejorEnBici_ is a hashtag that means ""Better on Bikes"" in English. It's a popular"
